planner,instance,num_holes,num_hole_vertices,cost,sweep_distance,v_max,a_max,num_nodes,num_edges,num_cells,decomposition,edge_creation,line_sweeps,node_creation,poly_offset,polygon_adjacency,pruning,setup_solver,solve,sweep_graph,timer_setup_total,timer_solve_total
our_bcd,1/0014,1,8,1482.66,3,3,1,18,240,4,0.128432,0.00475252,0.107365,0.0182313,0.00460308,0.0008413,0.00782013,1.8e-07,0.00679871,0.139969,0.273862,0.00679967
our_tcd,1/0014,1,8,1577.61,3,3,1,56,2784,10,0.151667,0.049359,0.200109,0.0512973,0.00847289,0.00327613,0.0259125,1.17e-07,0.018195,0.32865,0.492077,0.0182013
one_dir_gkma,1/0014,1,8,1501.54,3,3,1,4,12,4,0.121933,0.000230048,0.0145479,0.00211128,0.00482014,0.000856259,0.000169671,6.2e-08,0.00676002,0.0187568,0.146375,0.00676091
gtsp_exact,1/0014,1,8,1482.66,3,3,1,18,240,4,0.121595,0.00446169,0.106471,0.0177756,0.00450302,0.000820356,0.00776836,5.7568e-05,0.0615135,0.138174,0.265156,0.0615144
one_dir_exact,1/0014,1,8,1501.54,3,3,1,4,12,4,0.121466,0.000229766,0.0138057,0.00193388,0.0044442,0.000796411,0.000164048,4.493e-05,0.00634719,0.0176444,0.144409,0.00634808
our_bcd,1/0015,1,4,1520.85,3,3,1,16,192,4,0.0812356,0.00274771,0.0834873,0.0147252,0.00366107,0.00077669,0.00483014,1.8e-07,0.00681088,0.106936,0.192617,0.00681188
our_tcd,1/0015,1,4,1551.88,3,3,1,28,648,6,0.108666,0.00959248,0.105182,0.0242101,0.00500127,0.00132958,0.00959281,1.55e-07,0.0102901,0.149786,0.264789,0.010291
one_dir_gkma,1/0015,1,4,1521.41,3,3,1,4,12,4,0.0795937,0.000204918,0.00911194,0.00163683,0.00365144,0.000759313,0.000140562,7.3e-08,0.00698226,0.0120415,0.0960573,0.00698418
gtsp_exact,1/0015,1,4,1520.85,3,3,1,16,192,4,0.080106,0.00273491,0.0837075,0.0145679,0.00363409,0.00076088,0.00479738,5.7403e-05,0.0484532,0.106942,0.191512,0.0484574
one_dir_exact,1/0015,1,4,1521.41,3,3,1,4,12,4,0.0795647,0.000203091,0.0090809,0.00163504,0.00369514,0.000784388,0.00014006,4.5257e-05,0.00619583,0.0119964,0.0960927,0.00619675
our_bcd,1/0016,1,4,1482.81,3,3,1,16,192,4,0.0385987,0.00276525,0.0859511,0.0149378,0.00423466,0.000942413,0.00699307,4.7e-07,0.00643252,0.111814,0.155601,0.00643345
our_tcd,1/0016,1,4,1593.86,3,3,1,28,640,6,0.043974,0.00944157,0.132031,0.0241607,0.00538224,0.00130443,0.0129605,6.1e-08,0.0103722,0.179791,0.230465,0.0103731
one_dir_gkma,1/0016,1,4,1541.71,3,3,1,4,12,4,0.0361506,0.000233538,0.00651663,0.00179243,0.00437066,0.000764569,0.000163414,7.5e-08,0.00678311,0.00971107,0.0510108,0.00678451
gtsp_exact,1/0016,1,4,1482.81,3,3,1,16,192,4,0.0363352,0.00273612,0.0868236,0.015035,0.00435662,0.00077682,0.00685061,5.6435e-05,0.0491086,0.112664,0.154198,0.0491095
one_dir_exact,1/0016,1,4,1541.71,3,3,1,4,12,4,0.0360278,0.000233196,0.00650277,0.00179786,0.00434551,0.00077431,0.000164185,4.5203e-05,0.00625388,0.00968547,0.0508939,0.00625477
our_bcd,1/0017,1,4,1489.13,3,3,1,16,192,4,0.0403953,0.00297227,0.0958236,0.0146676,0.00386849,0.000551594,0.00538776,1.31e-07,0.00687536,0.120001,0.164828,0.00688104
our_tcd,1/0017,1,4,1541.92,3,3,1,26,560,6,0.0462791,0.00862202,0.114173,0.0235347,0.00510537,0.00120777,0.00929254,1.37e-07,0.0100767,0.156846,0.209445,0.0100775
one_dir_gkma,1/0017,1,4,1552.83,3,3,1,4,12,4,0.0380382,0.00023338,0.0105156,0.00155366,0.00433795,0.000610908,0.000151881,6.2e-08,0.00665476,0.0133982,0.056394,0.00665558
gtsp_exact,1/0017,1,4,1489.13,3,3,1,16,192,4,0.0380206,0.00295803,0.0973575,0.0147958,0.0042969,0.000612674,0.00535399,5.6449e-05,0.0486753,0.121643,0.164649,0.0486763
one_dir_exact,1/0017,1,4,1552.83,3,3,1,4,12,4,0.038013,0.000231978,0.0104977,0.00155655,0.00430714,0.000620753,0.000151334,4.6505e-05,0.00625655,0.0133807,0.056381,0.00625744
our_bcd,1/0018,1,6,1483.41,3,3,1,18,240,4,0.0952157,0.00392499,0.109467,0.0167189,0.00403416,0.000587622,0.00752135,1.27e-07,0.00659074,0.139055,0.238899,0.00659188
our_tcd,1/0018,1,6,1559.31,3,3,1,32,896,8,0.112386,0.0145653,0.152679,0.0363075,0.00621924,0.00205474,0.0124686,1.19e-07,0.0118284,0.217561,0.338233,0.0118293
one_dir_gkma,1/0018,1,6,1537.57,3,3,1,4,12,4,0.0933218,0.000223345,0.0133003,0.0017206,0.00401204,0.000576073,0.000153553,1.26e-07,0.00637064,0.0165876,0.114507,0.00637157
gtsp_exact,1/0018,1,6,1483.41,3,3,1,18,240,4,0.0928209,0.00390906,0.11001,0.0166439,0.00421344,0.000600296,0.00751794,5.9257e-05,0.0614781,0.139638,0.23734,0.0614794
one_dir_exact,1/0018,1,6,1537.57,3,3,1,4,12,4,0.0930483,0.000222375,0.0132229,0.00170964,0.00394228,0.000576944,0.000152624,4.5214e-05,0.00627859,0.0164649,0.114084,0.00627943
our_bcd,1/0019,1,3,1503.84,3,3,1,16,192,4,0.0282978,0.0024381,0.0912997,0.0145409,0.00385306,0.000859181,0.00593969,1.3e-07,0.0075605,0.115179,0.148209,0.00756139
our_tcd,1/0019,1,3,1537.98,3,3,1,24,448,5,0.0296028,0.00595886,0.109013,0.0186265,0.00458078,0.0010229,0.0091956,3.34e-07,0.00784223,0.143784,0.179003,0.00784312
one_dir_gkma,1/0019,1,3,1581.16,3,3,1,4,12,4,0.0256879,0.000260022,0.00707385,0.00205264,0.00394876,0.00103472,0.000163663,3.05e-07,0.0067162,0.0103174,0.0409962,0.00671709
gtsp_exact,1/0019,1,3,1503.84,3,3,1,16,192,4,0.0265163,0.00244135,0.0929286,0.0145846,0.0038202,0.000780353,0.00591176,5.667e-05,0.0487362,0.116863,0.148051,0.0487371
one_dir_exact,1/0019,1,3,1581.16,3,3,1,4,12,4,0.0255768,0.000267187,0.00702698,0.00198995,0.00390864,0.000995963,0.00015722,8.1645e-05,0.00617802,0.0102693,0.0408476,0.00617928
our_bcd,1/0020,1,8,1444.65,3,3,1,14,144,4,0.177425,0.00255524,0.0917561,0.0220293,0.00434629,0.000602037,0.00599733,1.94e-07,0.00703779,0.124418,0.306799,0.00703872
our_tcd,1/0020,1,8,1558.53,3,3,1,52,2408,10,0.246061,0.0414336,0.171573,0.062536,0.00765541,0.00326357,0.019775,1.29e-07,0.0179537,0.297576,0.554563,0.0179546
one_dir_gkma,1/0020,1,8,1508.81,3,3,1,4,12,4,0.17479,0.000296383,0.0128155,0.00229224,0.00425903,0.000593056,0.000173891,6.4e-08,0.00685561,0.017385,0.197038,0.00685992
gtsp_exact,1/0020,1,8,1444.65,3,3,1,14,144,4,0.17505,0.00252678,0.0916668,0.0218956,0.00427964,0.000582646,0.00597457,5.5243e-05,0.0411853,0.124089,0.304066,0.0411867
one_dir_exact,1/0020,1,8,1508.81,3,3,1,4,12,4,0.174165,0.000301277,0.0128174,0.00230253,0.00431118,0.000610627,0.000171977,4.3355e-05,0.00644331,0.0174528,0.196589,0.00644427
our_bcd,1/0021,1,4,1523.44,3,3,1,16,192,4,0.0574464,0.00268826,0.075879,0.0152389,0.00355839,0.000539414,0.00493517,1.45e-07,0.00700302,0.0998779,0.161435,0.00700393
our_tcd,1/0021,1,4,1604.02,3,3,1,32,832,6,0.0684673,0.0126102,0.104999,0.0245756,0.00474572,0.00119725,0.0112036,1.31e-07,0.0109426,0.154556,0.228976,0.0109435
one_dir_gkma,1/0021,1,4,1542.22,3,3,1,4,12,4,0.0551186,0.00022453,0.00632386,0.00174803,0.00383843,0.00061738,0.000141451,1.33e-07,0.00666815,0.00941598,0.068997,0.00666907
gtsp_exact,1/0021,1,4,1523.44,3,3,1,16,192,4,0.0555367,0.00268774,0.0773133,0.0153447,0.00359812,0.000545843,0.00495078,8.2369e-05,0.0490547,0.101459,0.161235,0.0490561
one_dir_exact,1/0021,1,4,1542.22,3,3,1,4,12,4,0.0555666,0.000222165,0.00636526,0.00170043,0.00364982,0.000564164,0.000142172,4.4456e-05,0.00622035,0.00938574,0.0692246,0.00622444
our_bcd,1/0022,1,4,1467.88,3,3,1,16,192,4,0.0407316,0.0027615,0.0928907,0.0148639,0.00416306,0.000788662,0.00671691,1.32e-07,0.00593331,0.118405,0.164095,0.00593421
our_tcd,1/0022,1,4,1548.78,3,3,1,28,640,6,0.0461386,0.00965429,0.125123,0.0239342,0.00556555,0.00134064,0.0126064,1.29e-07,0.0095546,0.172508,0.22556,0.00955547
one_dir_gkma,1/0022,1,4,1531.12,3,3,1,4,12,4,0.0384686,0.000232285,0.00536145,0.00162057,0.00461354,0.000859304,0.000150603,1.14e-07,0.00678255,0.0083083,0.0522658,0.00678346
gtsp_exact,1/0022,1,4,1467.88,3,3,1,16,192,4,0.0383067,0.00274093,0.0936718,0.0149777,0.00454088,0.000858262,0.00669775,8.2289e-05,0.0487421,0.11927,0.163067,0.0487432
one_dir_exact,1/0022,1,4,1531.12,3,3,1,4,12,4,0.0389827,0.000233548,0.00545321,0.00161857,0.00442018,0.000938113,0.000151197,4.3935e-05,0.00622446,0.00840552,0.0527992,0.00622536
our_bcd,1/0023,1,4,1500.66,3,3,1,16,192,4,0.0497972,0.00270624,0.0777369,0.0152678,0.00394707,0.00076895,0.00624883,1.35e-07,0.00613255,0.103187,0.157713,0.00613338
our_tcd,1/0023,1,4,1533.17,3,3,1,32,832,6,0.0592826,0.0126627,0.109457,0.0244682,0.00535643,0.00127714,0.0129788,5.9e-08,0.0104897,0.160773,0.226701,0.0104941
one_dir_gkma,1/0023,1,4,1537.39,3,3,1,4,12,4,0.0478637,0.0002051,0.00736647,0.00174531,0.00396706,0.000775859,0.000153392,1.44e-07,0.0063685,0.0104406,0.0630539,0.00636936
gtsp_exact,1/0023,1,4,1500.66,3,3,1,16,192,4,0.0477868,0.00270886,0.0771138,0.0151567,0.00400167,0.000771129,0.00623261,8.2743e-05,0.0488659,0.102412,0.155062,0.0488669
one_dir_exact,1/0023,1,4,1537.39,3,3,1,4,12,4,0.0480355,0.000201445,0.00736614,0.00173491,0.00397081,0.000785406,0.000142209,4.4949e-05,0.00630603,0.0104216,0.0632739,0.00630741
our_bcd,1/0024,1,4,1441.17,3,3,1,16,192,4,0.0385856,0.00271718,0.0984975,0.0150666,0.00397763,0.000792372,0.0060916,1.42e-07,0.00610869,0.12357,0.166938,0.00610988
our_tcd,1/0024,1,4,1518.66,3,3,1,28,640,6,0.0456339,0.00958486,0.133717,0.0241576,0.00538273,0.00133349,0.0125964,1.34e-07,0.00957168,0.181263,0.23362,0.00957258
one_dir_gkma,1/0024,1,4,1470.88,3,3,1,4,12,4,0.0350381,0.000214502,0.00655309,0.00172618,0.00437114,0.000777316,0.000159932,1.56e-07,0.0066786,0.0097583,0.0499829,0.00667943
gtsp_exact,1/0024,1,4,1441.17,3,3,1,16,192,4,0.0350979,0.00268962,0.0989962,0.014918,0.00436432,0.000783394,0.00606668,8.0193e-05,0.0488161,0.123938,0.16428,0.0488196
